facility_name,street,city,state,zip,violation_program,violation_type,inspection_date,naics_code
BURLINGTON RESOURCES OIL & GAS CO. LP,(UNKNOWN ADDRESS),(UNKNOWN CITY),ND,00000,CWA,No,,
BURLINGTON RESOURCES OIL & GAS CO. LP,(UNKNOWN ADDRESS),(UNKNOWN CITY),ND,00000,CWA,No,,
BURLINGTON RESOURCES OIL & GAS CO. LP,(UNKNOWN ADDRESS),(UNKNOWN CITY),ND,00000,CWA,No,,
BURLINGTON RESOURCES OIL & GAS CO. LP,(UNKNOWN ADDRESS),(UNKNOWN CITY),ND,00000,CWA,No,,
BURLINGTON RESOURCES OIL & GAS CO. LP,(UNKNOWN ADDRESS),(UNKNOWN CITY),ND,00000,CWA,No,,
BURLINGTON RESOURCES OIL & GAS CO. LP,(UNKNOWN ADDRESS),(UNKNOWN CITY),ND,00000,CWA,No,,
BURLINGTON RESOURCES OIL & GAS CO. LP,REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
BURLINGTON RESOURCES OIL & GAS CO. LP,(UNKNOWN ADDRESS),(UNKNOWN CITY),ND,00000,CWA,No,,
BURLINGTON RESOURCES OIL & GAS CO. LP,(UNKNOWN ADDRESS),(UNKNOWN CITY),ND,00000,CWA,No,,
BURLINGTON RESOURCES OIL & GAS CO. LP,(UNKNOWN ADDRESS),(UNKNOWN CITY),ND,00000,CWA,No,,
BURLINGTON RESOURCES OIL & GAS CO. LP,(UNKNOWN ADDRESS),(UNKNOWN CITY),ND,00000,CWA,No,,
BURLINGTON RESOURCES OIL & GAS CO. LP,REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
BURLINGTON RESOURCES OIL & GAS CO. LP,(UNKNOWN ADDRESS),(UNKNOWN CITY),ND,00000,CWA,No,,
BURLINGTON RESOURCES OIL & GAS CO. LP,(UNKNOWN ADDRESS),(UNKNOWN CITY),ND,00000,CWA,No,,
BURLINGTON RESOURCES OIL & GAS CO. LP,(UNKNOWN ADDRESS),(UNKNOWN CITY),ND,00000,CWA,No,,
BURLINGTON RESOURCES OIL & GAS CO. LP,(UNKNOWN ADDRESS),(UNKNOWN CITY),ND,00000,CWA,No,,
BURLINGTON RESOURCES OIL & GAS CO. LP,(UNKNOWN ADDRESS),(UNKNOWN CITY),ND,00000,CWA,No,,
BURLINGTON RESOURCES OIL & GAS CO. LP,(UNKNOWN ADDRESS),(UNKNOWN CITY),ND,00000,CWA,No,,
BURLINGTON RESOURCES OIL & GAS CO. LP,(UNKNOWN ADDRESS),(UNKNOWN CITY),ND,00000,CWA,No,,
BURLINGTON RESOURCES OIL & GAS CO. LP,(UNKNOWN ADDRESS),(UNKNOWN CITY),ND,00000,CWA,No,,
BURLINGTON RESOURCES OIL & GAS CO. LP,(UNKNOWN ADDRESS),(UNKNOWN CITY),ND,00000,CWA,No,,
BURLINGTON RESOURCES OIL & GAS CO. LP,(UNKNOWN ADDRESS),(UNKNOWN CITY),ND,00000,CWA,No,,
BURLINGTON RESOURCES OIL & GAS CO. LP,(UNKNOWN ADDRESS),(UNKNOWN CITY),ND,00000,CWA,No,,
